Ticker,Name,Industry,Tag,Amount,Daily_Pct,Hold_Period,Stop_Loss,Score,ATR_Pct,周期共振,Scan_Ref_Price
000657.SZ,中钨高新,小金属,Core_Dragon,5821697.51541,7.1893,2-3天,62.00元,68,7.45,True,62.64
000506.SZ,招金黄金,黄金,Core_Dragon,3651833.66566,9.2528,3-5天,19.50元,88,7.1,True,20.2
